url,last_modified,title
https://finance.yahoo.com/video/julius-randle-203241082.html,2018-10-28T20:32:41Z,julius randle 203241082
https://finance.yahoo.com/video/jayson-tatum-203145703.html,2018-10-28T20:31:45Z,jayson tatum 203145703
https://finance.yahoo.com/video/rondae-hollis-jefferson-202727934.html,2018-10-28T20:27:27Z,rondae hollis jefferson 202727934
https://finance.yahoo.com/video/spencer-dinwiddie-202656853.html,2018-10-28T20:26:56Z,spencer dinwiddie 202656853
https://finance.yahoo.com/video/derrick-favors-202627235.html,2018-10-28T20:26:27Z,derrick favors 202627235
https://finance.yahoo.com/news/reports-leicester-city-owners-helicopter-crashes-outside-stadium-match-203520823.html,2018-10-28T20:20:20Z,reports leicester city owners helicopter crashes outside stadium match 203520823
https://finance.yahoo.com/photos/nyc-pups-cute-creative-costumes-slideshow-wp-201601219/,2018-10-28T20:16:01Z,
https://finance.yahoo.com/news/seahawks-rookie-punter-michael-dickson-ices-win-impromptu-run-end-zone-201440330.html,2018-10-28T20:14:40Z,seahawks rookie punter michael dickson ices win impromptu run end zone 201440330
https://finance.yahoo.com/news/adrian-peterson-turns-back-hands-time-64-yard-touchdown-run-201432910.html,2018-10-28T20:14:32Z,adrian peterson turns back hands time 64 yard touchdown run 201432910
https://finance.yahoo.com/video/aaron-gordon-201233330.html,2018-10-28T20:12:33Z,aaron gordon 201233330
https://finance.yahoo.com/video/chris-paul-201138969.html,2018-10-28T20:11:38Z,chris paul 201138969
https://finance.yahoo.com/video/kyle-anderson-200558275.html,2018-10-28T20:05:58Z,kyle anderson 200558275
https://finance.yahoo.com/video/thaddeus-young-200420231.html,2018-10-28T20:04:20Z,thaddeus young 200420231
https://finance.yahoo.com/video/cameron-payne-195924733.html,2018-10-28T19:59:24Z,cameron payne 195924733
https://finance.yahoo.com/video/jabari-parker-195836350.html,2018-10-28T19:58:36Z,jabari parker 195836350
https://finance.yahoo.com/video/wendell-carter-jr-195721281.html,2018-10-28T19:57:21Z,wendell carter jr 195721281
https://finance.yahoo.com/video/hassan-whiteside-195651974.html,2018-10-28T19:56:51Z,hassan whiteside 195651974
https://finance.yahoo.com/video/jonathan-isaac-194648855.html,2018-10-28T19:46:48Z,jonathan isaac 194648855
https://finance.yahoo.com/video/marc-gasol-194619308.html,2018-10-28T19:46:19Z,marc gasol 194619308
https://finance.yahoo.com/video/blake-griffin-194542877.html,2018-10-28T19:45:42Z,blake griffin 194542877
https://finance.yahoo.com/video/larry-nance-jr-194407119.html,2018-10-28T19:44:07Z,larry nance jr 194407119
https://finance.yahoo.com/video/dennis-schroder-194257602.html,2018-10-28T19:42:57Z,dennis schroder 194257602
https://finance.yahoo.com/video/john-wall-194226385.html,2018-10-28T19:42:26Z,john wall 194226385
https://finance.yahoo.com/video/pittsburgh-mayor-disagrees-trump-arming-193218491.html,2018-10-28T19:32:18Z,pittsburgh mayor disagrees trump arming 193218491
https://finance.yahoo.com/video/steelers-returner-bungles-kickoff-193216978.html,2018-10-28T19:32:16Z,steelers returner bungles kickoff 193216978
https://finance.yahoo.com/video/alex-len-193113686.html,2018-10-28T19:31:13Z,alex len 193113686
https://finance.yahoo.com/news/fourth-interception-jameis-winston-benched-ryan-fitzpatrick-193052102.html,2018-10-28T19:30:52Z,fourth interception jameis winston benched ryan fitzpatrick 193052102
https://finance.yahoo.com/video/al-farouq-aminu-192950488.html,2018-10-28T19:29:50Z,al farouq aminu 192950488
https://finance.yahoo.com/video/eric-bledsoe-192834095.html,2018-10-28T19:28:34Z,eric bledsoe 192834095
https://finance.yahoo.com/news/everything-kareem-hunts-great-td-thing-beauty-including-huge-hurdle-192608169.html,2018-10-28T19:26:08Z,everything kareem hunts great td thing beauty including huge hurdle 192608169
https://finance.yahoo.com/video/trevor-ariza-192416390.html,2018-10-28T19:24:16Z,trevor ariza 192416390
https://finance.yahoo.com/video/lou-williams-192346031.html,2018-10-28T19:23:46Z,lou williams 192346031
https://finance.yahoo.com/news/joe-jonas-dressed-fiancees-game-thrones-character-people-thought-fiona-shrek-191941636.html,2018-10-28T19:19:41Z,joe jonas dressed fiancees game thrones character people thought fiona shrek 191941636
https://finance.yahoo.com/video/montrezl-harrell-191045981.html,2018-10-28T19:10:45Z,montrezl harrell 191045981
https://finance.yahoo.com/video/javale-mcgee-190859508.html,2018-10-28T19:08:59Z,javale mcgee 190859508
https://finance.yahoo.com/video/seahawks-shoutout-fall-classic-fantastic-190806459.html,2018-10-28T19:08:06Z,seahawks shoutout fall classic fantastic 190806459
https://finance.yahoo.com/video/jerami-grant-190218255.html,2018-10-28T19:02:18Z,jerami grant 190218255
https://finance.yahoo.com/video/khris-middleton-190121691.html,2018-10-28T19:01:21Z,khris middleton 190121691
https://finance.yahoo.com/video/bradley-beal-190048941.html,2018-10-28T19:00:48Z,bradley beal 190048941
https://finance.yahoo.com/video/jamal-murray-190004569.html,2018-10-28T19:00:04Z,jamal murray 190004569
https://finance.yahoo.com/video/trae-young-185458783.html,2018-10-28T18:54:58Z,trae young 185458783
https://finance.yahoo.com/news/eriksson-stunner-paves-way-chelsea-victory-liverpool-185016971.html,2018-10-28T18:50:16Z,eriksson stunner paves way chelsea victory liverpool 185016971
https://finance.yahoo.com/video/enes-kanter-184820424.html,2018-10-28T18:48:20Z,enes kanter 184820424
https://finance.yahoo.com/video/andre-drummond-184735197.html,2018-10-28T18:47:35Z,andre drummond 184735197
https://finance.yahoo.com/news/seahawks-hit-pitch-touchdown-celebration-best-year-184557803.html,2018-10-28T18:45:57Z,seahawks hit pitch touchdown celebration best year 184557803
https://finance.yahoo.com/video/caris-levert-184214002.html,2018-10-28T18:42:14Z,caris levert 184214002
https://finance.yahoo.com/video/jusuf-nurkic-184035616.html,2018-10-28T18:40:35Z,jusuf nurkic 184035616
https://finance.yahoo.com/video/ricky-rubio-183958640.html,2018-10-28T18:39:58Z,ricky rubio 183958640
https://finance.yahoo.com/video/kemba-walker-183826683.html,2018-10-28T18:38:26Z,kemba walker 183826683
https://finance.yahoo.com/video/nikola-vucevic-183752531.html,2018-10-28T18:37:52Z,nikola vucevic 183752531
https://finance.yahoo.com/video/danilo-gallinari-183251916.html,2018-10-28T18:32:51Z,danilo gallinari 183251916
https://finance.yahoo.com/video/kyle-lowry-183144847.html,2018-10-28T18:31:44Z,kyle lowry 183144847
https://finance.yahoo.com/video/gary-harris-182934016.html,2018-10-28T18:29:34Z,gary harris 182934016
https://finance.yahoo.com/video/kent-bazemore-182449518.html,2018-10-28T18:24:49Z,kent bazemore 182449518
https://finance.yahoo.com/video/mike-conley-182348503.html,2018-10-28T18:23:48Z,mike conley 182348503
https://finance.yahoo.com/video/kyrie-irving-182316261.html,2018-10-28T18:23:16Z,kyrie irving 182316261
https://finance.yahoo.com/video/demar-derozan-182233346.html,2018-10-28T18:22:33Z,demar derozan 182233346
https://finance.yahoo.com/news/ap-top-25-texas-tumbles-9-spots-loss-oklahoma-state-181741156.html,2018-10-28T18:17:41Z,ap top 25 texas tumbles 9 spots loss oklahoma state 181741156
https://finance.yahoo.com/video/darren-collison-181443162.html,2018-10-28T18:14:43Z,darren collison 181443162
https://finance.yahoo.com/video/taurean-prince-181352335.html,2018-10-28T18:13:52Z,taurean prince 181352335
https://finance.yahoo.com/video/zach-lavine-181309208.html,2018-10-28T18:13:09Z,zach lavine 181309208
https://finance.yahoo.com/video/steven-adams-181239821.html,2018-10-28T18:12:39Z,steven adams 181239821
https://finance.yahoo.com/video/condolences-begin-names-pittsburgh-shooting-181110604.html,2018-10-28T18:11:10Z,condolences begin names pittsburgh shooting 181110604
https://finance.yahoo.com/video/cj-mccollum-181021805.html,2018-10-28T18:10:21Z,cj mccollum 181021805
https://finance.yahoo.com/news/costume-year-lady-gaga-bradley-cooper-star-born-reenactions-oscar-worthy-180921636.html,2018-10-28T18:09:21Z,costume year lady gaga bradley cooper star born reenactions oscar worthy 180921636
https://finance.yahoo.com/video/justin-holiday-180908686.html,2018-10-28T18:09:08Z,justin holiday 180908686
https://finance.yahoo.com/video/lebron-james-180842523.html,2018-10-28T18:08:42Z,lebron james 180842523
https://finance.yahoo.com/video/otto-porter-jr-180722714.html,2018-10-28T18:07:22Z,otto porter jr 180722714
https://finance.yahoo.com/video/joe-ingles-180555879.html,2018-10-28T18:05:55Z,joe ingles 180555879
https://finance.yahoo.com/video/jarrett-allen-180436419.html,2018-10-28T18:04:36Z,jarrett allen 180436419
https://finance.yahoo.com/video/lamarcus-aldridge-175947149.html,2018-10-28T17:59:47Z,lamarcus aldridge 175947149
https://finance.yahoo.com/news/kanye-west-supporting-blexit-movement-loudest-supporters-white-twitter-users-175932311.html,2018-10-28T17:59:32Z,kanye west supporting blexit movement loudest supporters white twitter users 175932311
https://finance.yahoo.com/video/myles-turner-175918052.html,2018-10-28T17:59:18Z,myles turner 175918052
https://finance.yahoo.com/news/barcelona-barely-misses-messi-el-clasico-humiliation-real-madrid-misses-ronaldo-mightily-175607611.html,2018-10-28T17:56:07Z,barcelona barely misses messi el clasico humiliation real madrid misses ronaldo mightily 175607611
https://finance.yahoo.com/video/donovan-mitchell-175605071.html,2018-10-28T17:56:05Z,donovan mitchell 175605071
https://finance.yahoo.com/video/tobias-harris-175527225.html,2018-10-28T17:55:27Z,tobias harris 175527225
https://finance.yahoo.com/video/jimmy-butler-175450100.html,2018-10-28T17:54:50Z,jimmy butler 175450100
https://finance.yahoo.com/video/nikola-mirotic-175408875.html,2018-10-28T17:54:08Z,nikola mirotic 175408875
